Course Name,Language of instruction,Duration,Level of education,Accommodation  fee,Tuition fee,Total fee
Cognitive Neurosciences,English,2 years,Master,500,3850,4350
Food Biotechnology,English,2 years,Master,500,3850,4350
Sports,English,2 years,Master,500,3850,4350
Human Resources,English,2 years,Master,500,3850,4350
International Management,English,2 years,Master,500,3200,3700
International Trade and Entrepreneurship,English,2 years,Master,500,3200,3700
IT Innovations in Business,English,2 years,Master,500,3200,3700
"Mechanical Engineering, Machines and Equipment Design",English,2 years,Master,500,3850,4350
Neoindustrial Design,English,2 years,Master,500,3200,3700
Political Philosoph,English,2 years,Master,500,3200,3700
Practical Data Analysis,English,2 years,Master,500,3200,3700
Preventology,English,2 years,Master,500,4000,4500
Sustainable Solid Waste Management,English,2 years,Master,500,3850,4350
Mathematics and Mechanics,English,4 years,PhD,500,3600,4100
Computer and Information Sciences,English,4 years,PhD,500,3600,4100
Physics and Astronomy,English,4 years,PhD,500,3600,4100
Chemical Sciences,English,4 years,PhD,500,3600,4100
Biosciences,English,4 years,PhD,500,3500,4000
Architecture,English,4 years,PhD,500,3500,4000
Civil Engineering Technology,English,4 years,PhD,500,3500,4000
Electrical and Heat-power Engineering,English,4 years,PhD,500,4560,5060
"Nuclear, Thermal and Renewable Energy and Related Technologies",English,4 years,PhD,500,3500,4000
Mechanical Engineering,English,4 years,PhD,500,3500,4000
Chemical Technology,English,4 years,PhD,500,3500,4000
Materials Technology,English,4 years,PhD,500,3500,4000
Management in Technical Systems,English,4 years,PhD,500,3500,4000
Psychological Sciences,English,4 years,PhD,500,3450,3950
Economics,English,4 years,PhD,500,3450,3950
Sociological sciences,English,4 years,PhD,500,3450,3950
Political sciences and area studies,English,4 years,PhD,500,3450,3950
Linguistics and Literary studies,English,4 years,PhD,500,3450,3950
History and Archeology,English,4 years,PhD,500,3450,3950
"Philosophy, Ethics and Religious Studies",English,4 years,PhD,500,3450,3950
Art studies,English,4 years,PhD,500,4560,5060
Cultural studies,English,4 years,PhD,500,4560,5060
